2.2,1.1,-9.3,-8.7,-2.8,3.8
-0.5,-8.5,-4.4,0,2.7,-1.1
0,-6.8,-4.5,33.8,2.8,-32.6
0,-6.8,-4.5,22.7,-15.4,-168.3
4.3,0.1,-12,22.7,-15.4,-168.3
4.3,0.1,-12,3.1,-2,2.1
4.3,2.1,-8.3,3.1,-2,2.1
3.9,2,-9.4,1.5,0.8,3.3
1.1,-3.6,-2.1,1.5,0.8,3.3
1.1,-3.6,-2.1,-42,-2.1,123.1
-0.2,-8.4,-5,1.3,5.5,4.6
0.1,-7.6,-5.3,28.1,0.4,-39.2
0.1,-7.6,-5.3,21.3,-12.6,-41.6
1.9,-5.3,-7.6,21.3,-12.6,-41.6
5.4,2.2,-10.3,4.5,-16.7,-93.5
5.4,2.2,-10.3,1.2,-2.5,-0.9
4.5,3.1,-8.1,1.2,-2.5,-0.9
3.8,2.8,-10.2,-5,6,0.8
0.9,-4.4,-0.1,-53.5,11.7,118.9
0.4,-8.6,-4.6,2.8,0.5,-1.2
0.4,-8.6,-4.6,1.3,8,-5.8
0.1,-8.7,-4.6,1.3,8,-5.8
0.4,-7.7,-4.4,1.3,8,-5.8
0.4,-7.7,-4.4,12.3,-0.8,-25
5.2,1.5,-12.8,31.8,-21.4,-181.1
3.9,2.2,-8.8,-1.9,-3.4,0.4
3.8,2,-9.1,4.5,0.7,-6
-0.1,-7.7,-5.8,-2.4,-0.1,1.6
-0.2,-8.2,-5.7,-2.7,-1,6.6
-0.2,-8.5,-4.7,-2.8,-1.6,2.6
-0.2,-8.5,-4.7,16,0.2,-14.9
-0.2,-8.1,-4.8,16,0.2,-14.9
-0.2,-8.1,-4.8,46.5,-1.3,-89.8
1.4,-4.2,-8.1,46.5,-1.3,-89.8
4.1,2.7,-11.1,9.9,7.1,-32.2
3.8,3,-8.3,4.2,0.4,-3.3
4.8,2.8,-18.1,-44.7,18.6,120.6
4.8,2.8,-18.1,-4.9,-14.7,-2.7
-0.5,-8.6,-4.5,-4.9,-14.7,-2.7
-0.2,-8.3,-5.5,-5.1,-1.7,6.8
-0.2,-8.3,-5.5,-0.9,3,2.3
-0.4,-8.2,-5.3,-0.9,3,2.3
-0.1,-7.6,-4.6,9.2,2.5,-20.3
3.7,-0.1,-10.2,35.4,-26.5,-152.4
4.3,3,-7.8,-7.1,-5.7,7.6
4,3,-8.5,-0.7,1.6,-5.7
3.9,3.1,-8.4,0.4,1,-4.2
3.9,3.1,-8.4,-144.5,-2.3,247.7
4.4,1.6,-14.4,-144.5,-2.3,247.7
0.6,-9.3,-4.7,-8.3,4.7,-5.3
0.6,-9.3,-4.7,0.8,-0.2,-5.9
0.1,-8.1,-5.2,0.8,-0.2,-5.9
0.2,-7.4,-6,19.6,0.9,-25.9
2,-5.2,-7.7,27.2,-8.9,-56.1
6.1,2,-13.8,19.4,-6.6,-52.4
6.1,2,-13.8,1.9,1.7,-10.4
4.6,2.1,-8.5,1.9,1.7,-10.4
4.6,2.1,-8.5,2.3,-0.8,-1.9
4.2,2.6,-8.6,2.3,-0.8,-1.9
5.3,0.4,-9.5,-122.8,29.5,215.5
5.3,0.4,-9.5,3.1,-5.6,-14
-0.2,-8.4,-4.9,3.1,-5.6,-14
-0.1,-7.9,-5.5,5.2,6.9,-4.3
0.1,-8.2,-5.4,15.9,5.8,0
0.1,-8.2,-5.4,11.8,0.1,-29.1
0.5,-6.5,-5.4,11.8,0.1,-29.1
6,1.8,-14.4,-6.4,7.5,-161.9
6,1.8,-14.4,1,-1.3,4.2
4.3,2.7,-8.3,1,-1.3,4.2
4.7,2.5,-14.6,-50.1,23.4,85.4
-1.1,-8.3,-3,-3.3,-3.7,19.5
-1.1,-8.3,-3,7.8,0.4,-10
-0.6,-8,-4.9,7.8,0.4,-10
0.6,-6.4,-6.1,21.1,-16,-37.9
3.8,0.8,-13.6,-1.8,4.7,-86
4.1,2.4,-8.6,-1.2,-3.1,-1.4
4.1,2.4,-8.7,-0.2,0.6,-4.8
3.6,1.2,-7.6,-104.7,-2.9,241
-0.5,-8.7,-5.7,1.4,-0.8,-10.6
-0.6,-8,-5.3,2.8,-3.1,-2.6
-0.5,-7.8,-5.9,1.5,1.7,-2.7
0.3,-6.7,-6.2,27.3,-0.9,-31.3
0.3,-6.7,-6.2,41.5,-13.5,-132.6
3.6,0.5,-10.6,41.5,-13.5,-132.6
3.9,3.4,-7.8,-5.6,-5.6,12
3.8,3.4,-8.4,-1.6,3.4,-5.9
3.8,3.6,-8.3,-1.1,0.2,0
3.8,3.6,-8.3,-7.3,-14.3,30
3.2,3.6,-10.6,-7.3,-14.3,30
1.5,-2.9,-4.3,-42.2,-1,124.1
-0.2,-7.3,-6.9,5.7,3.4,-6.8
-0.1,-7.4,-6.4,4.8,2.5,0.2
0.6,-5.2,-6.2,53,-3.9,-56.4
4.3,2.3,-11.1,53,-3.9,-56.4
4.3,2.3,-11.1,-5.7,4.4,-75.6
4.2,3.3,-7.9,2.6,-0.3,-6
3.8,3.4,-8.5,-0.9,0.5,-1.9
3.8,3.5,-8.4,0.9,4,-7
3.8,3.5,-8.4,-78.3,-15.2,245.8
2.7,1,-5.8,-78.3,-15.2,245.8
-1,-7.8,-6.7,2.4,-3.8,-15.8
-1,-7.6,-6.4,4.1,4.4,-2.5
-0.7,-7,-6.5,10.4,-0.2,-10.6
-0.7,-7,-6.5,30,-41.5,-120.6
2.5,-2,-7.6,30,-41.5,-120.6
3.6,3.3,-8.3,-10.7,-4.7,16.6
4.1,3.2,-8.5,-3.4,0.2,-0.7
4.1,3.2,-8.5,1.4,0.7,-0.2
3.8,3.4,-8.4,1.4,0.7,-0.2
3.8,3.4,-8.4,-62.6,-10.1,170.6
4.1,3.8,-16.6,-62.6,-10.1,170.6
-1.4,-8,-5,5.1,2.1,-20.3
-0.2,-5.9,-6.7,45.5,-1.9,-51.7
3,-0.8,-9.4,12.9,-5.4,-82.6
3.5,2.2,-8.9,-11.9,-1.6,9.6
3.5,2.1,-8.9,-3.8,3.3,-9.1
3.6,2.4,-8.8,-0.8,0.9,-2.6
3.5,2.5,-8.7,2.8,4.2,-7.1
3.5,2.5,-8.7,-105.2,-20.4,167.4
3.4,1.3,-10.1,-105.2,-20.4,167.4
-0.8,-7.5,-6.5,6.3,-4.5,-6.9
-0.3,-6.7,-6.2,11.7,4.4,-14.8
1.4,-4.4,-8,23.7,-6.2,-57.4
3.9,1.5,-10.8,7.4,-10,-82.9
3.9,1.5,-10.8,-2.4,-3.2,0.5
3.9,2.3,-8.7,-2.4,-3.2,0.5
3.9,2.7,-8.7,-4.4,4.8,-11.1
3.7,3.1,-8.5,2.4,2.6,-0.8
3.7,3.1,-8.5,-113,0.2,174.4
3.9,2.6,-13.3,-113,0.2,174.4
-0.5,-7.8,-4.7,5.7,-12.4,-3.2
-0.3,-7.5,-5.5,10.9,10.6,-18.9
0.4,-6,-7.3,31.4,-5.9,-36.1
0.4,-6,-7.3,31.3,-7.8,-78.2
2.6,-2.1,-8.1,31.3,-7.8,-78.2
2.6,-2.1,-8.1,2.1,8,-3.2
3.5,1.8,-9.7,2.1,8,-3.2
3.9,1.8,-8.9,1.5,-3.3,4.8
3.1,1.7,-15.6,-37.5,11.3,40.7
-0.5,-6.9,-3.9,-0.5,-1.3,0.5
-0.5,-6.9,-3.9,23.8,4.8,-26.2
-0.1,-6.8,-5.7,23.8,4.8,-26.2
1.1,-5.2,-7.3,19.7,-4.7,-45.5
3.2,0.5,-10.4,14.3,0.1,-94.1
3.5,1.8,-8.7,-0.8,0,-4.3
3,1.8,-10,-5.1,-6.2,18.5
3.2,-0.6,-10.1,-78.1,-5.2,248
-0.3,-9.1,-5.2,6.1,4.8,-19
-0.6,-8.6,-5,1.6,1.5,-2.1
-0.6,-8.6,-5,0.3,1.6,1.9
-0.8,-8.5,-5,0.3,1.6,1.9
-0.9,-8.3,-4.7,2.5,1.6,-2.2
1.8,-1.9,-6.6,69,-44.1,-218.4
3.3,2.2,-8.1,-0.9,-0.5,7.6
3.3,2.2,-8.1,0.1,-1.6,-4.9
3.6,2,-9,0.1,-1.6,-4.9
3.6,2,-9,-0.4,1.9,-1.6
3.5,2.1,-9,-0.4,1.9,-1.6
2.2,-2.2,-5.3,-69,13.7,188.1
-0.3,-9.1,-4.6,3.9,3.6,-11.6
-0.3,-9.1,-4.6,3.2,0.7,-0.7
-0.3,-8.7,-4.3,3.2,0.7,-0.7
0,-8.1,-3.5,3.2,0.7,-0.7
0,-8.1,-3.5,7.9,1.1,-12
3.5,0.7,-12.3,47.5,-4,-163.8
3.8,2.6,-8.7,-3.4,-1,-0.4
3.5,2.7,-8.8,1,-0.2,0.6
3.5,2.8,-9,0.8,-0.2,-2.6
3,0.6,-8.9,-85.8,-21.4,247.8
-0.3,-8.6,-5.3,-85.8,-21.4,247.8
-0.3,-8.6,-5.3,10,2.8,-13
-0.4,-8.3,-5.1,2.1,3.8,-3
0.7,-4.3,-6.5,85.3,18.6,-122.1
3.3,3.3,-10.4,12.1,-1,-1.2
3.7,3.2,-8.6,12.1,-1,-1.2
3.7,3.2,-8.6,0.6,1.1,-4.8
3.8,3.4,-8.5,0.6,1.1,-4.8
3.8,3.4,-8.5,0.7,1.1,0.1
4.6,1.8,-14.4,-102,4.3,230.3
4.6,1.8,-14.4,1.2,-4,-18.3
-0.5,-8.4,-4.5,1.2,-4,-18.3
-0.4,-7.9,-5.6,1.6,-1,-4.5
0.6,-5.8,-7.9,30.4,-2.4,-56.5
3.1,-0.4,-9.3,21.2,9.9,-57.2
3.7,1.9,-8.7,-3.9,-5.5,0.4
3.7,2.3,-8.7,0.6,2.5,-17.8
2.7,1.7,-15.6,-29.4,2.2,51.6
-0.3,-7,-2.4,-12.7,-17.4,18.7
-0.6,-8,-5.8,-0.5,-1.6,-4.7
-0.6,-7.8,-5.7,0.9,0.3,-0.3
-0.6,-7.7,-5.6,3.6,-3.2,2.5
0.2,-6.9,-5.6,16.9,5.4,-20.5
4.5,1.1,-10.6,65.1,-34,-155.4
4.3,3.4,-8.1,-4.2,2.4,-6.5
3.8,3.5,-8.3,-3.4,-1.2,4.9
3.9,3.4,-8.4,-3.4,-1.2,4.9
3.9,3.4,-8.4,-0.4,0.8,-4.6
3.9,3.4,-8.4,-80.1,-7.1,229
4.2,1.7,-12.6,-80.1,-7.1,229
-0.5,-8.8,-4.7,-80.1,-7.1,229
-0.5,-8.8,-4.7,12.4,5.2,-27
-0.5,-8.8,-4.7,-1.1,-3,-5.4
-0.4,-8.2,-5.5,-1.1,-3,-5.4
-0.3,-7.9,-5.5,-1.1,-3,-5.4
-0.3,-7.9,-5.5,6.3,1.4,-1.3
0.9,-5.5,-4.9,37.6,5.8,-64.6
3.9,1.8,-13.6,9.8,14.3,-38.9
2.8,1,-10,-95.6,-21.6,171.3
-1.4,-8.2,-5.1,-3.4,-5.5,-23.9
-1.4,-8.2,-5.1,-3.6,-1.1,-2.8
-1.2,-7.8,-5.8,-3.6,-1.1,-2.8
-1,-7.7,-6,0.2,0.8,-0.1
0,-4.7,-5.7,63,-2.3,-77.8
4.9,4.8,-12.3,9.2,16.3,-50.4
4.3,3.8,-7.9,6,1.7,-5.4
4.3,3.8,-7.9,-2.3,0.8,-3.8
4.1,4,-8.1,-2.3,0.8,-3.8
3.8,4.1,-8.5,2.5,-0.2,1.5
1,-2.6,-3.4,-59.3,-20,160.9
-0.3,-7.8,-6.4,2.7,2.3,-1.7
-0.3,-7.8,-6.4,-0.1,3.1,2.1
-0.5,-7.7,-6.3,-0.1,3.1,2.1
-0.5,-7.7,-6.3,5.3,3.9,-6.6
-0.4,-7.5,-6.1,5.3,3.9,-6.6
0.2,-6.7,-5.8,10.2,1.2,-22.2
0.2,-6.7,-5.8,22.4,-6.7,-174.1
4.3,2.9,-14.1,22.4,-6.7,-174.1
3.6,3.4,-11.1,5.8,1.6,11.8
0.1,-5.1,-3.3,-20.5,-3.8,51.6
-0.4,-7.2,-6.6,0.6,1.2,0.6
-0.4,-7.2,-6.6,8.3,4.8,-7.1
-0.1,-7.1,-6.4,8.3,4.8,-7.1
0.4,-5.7,-7.1,28,6.5,-43.1
3.4,1.7,-8.7,64.7,-3.2,-135.4
4.3,3.6,-7.6,-3.6,-6,-0.2
4.1,3.8,-8,-1,1.6,-1.2
4.1,3.8,-8,-0.5,-0.8,2.8
4.1,3.8,-8,-0.5,-0.8,2.8
4.3,2.1,-11.8,-62.2,-31.6,208.3
4.3,2.1,-11.8,8.5,6.9,-17.3
0.3,-8.5,-4.7,8.5,6.9,-17.3
0.5,-7.8,-5.8,-7.6,-2.1,-9.8
0.2,-8,-5.6,4,2.3,-0.4
0.2,-8,-5.6,19.1,4.5,-23.7
0.6,-7.3,-5.4,19.1,4.5,-23.7
0.6,-7.3,-5.4,10.8,22.3,-119.1
4.9,2.9,-15.2,10.8,22.3,-119.1
4.2,3.1,-8.4,3.2,-1.9,-0.5
3.4,1.5,-8.1,-96.6,-29.8,263.4
3.4,1.5,-8.1,11.6,9.3,-17
0.2,-8.1,-6.1,11.6,9.3,-17
0.6,-7.7,-5.9,3.4,-2.5,-5.9
0.6,-7.7,-5.9,39,6.7,-58.2
0.8,-6.2,-7.1,39,6.7,-58.2
5.4,4.3,-13.6,8.4,2.9,-164.9
4.6,3.7,-8,1.3,-3.6,-1.6
4.6,3.7,-8,1.9,-0.1,-4.1
4.1,4,-7.9,1.9,-0.1,-4.1
4.6,1.5,-11.2,-41.6,0.3,249.2
0.8,-8.7,-5.3,27.6,9.1,-26.7
0.9,-7.9,-5.9,-5,-0.1,4.5
0.9,-7.9,-5.9,1.8,0.1,-0.3
0.8,-7.9,-5.7,1.8,0.1,-0.3
0.8,-7.9,-5.7,64.8,13.1,-134
2.2,-3.8,-4.3,64.8,13.1,-134
4.1,1.4,-10.9,6.2,-6.5,2
3.8,1.5,-8.9,7,-9.6,0.7
2.5,-1.5,-6.3,-99,-33.4,192.2
2.5,-1.5,-6.3,11.4,6.6,-16.1
0,-8.7,-5.8,11.4,6.6,-16.1
0,-8.3,-5.5,-1.3,3.5,-2.9
0.3,-7.3,-5.4,28.5,7.9,-27.7
2.7,-4.1,-8.6,17.5,4.5,-64.7
3.4,1.6,-10.3,-8.9,-2.6,6.3
2.9,0.4,-9.1,-4,6.2,7.3
2.5,0.4,-9.4,-1.2,-4.2,-1.5
2.5,0.4,-9.4,-86,-24.3,180.2
2.4,-2.3,-5,-86,-24.3,180.2
-0.8,-8.4,-5.6,8.5,6.7,-6.1
-0.8,-8.4,-5.6,3.6,-2.2,4.8
-0.8,-8,-5.3,3.6,-2.2,4.8
-0.8,-8,-5.3,-0.2,6.4,-6.3
-0.7,-7.8,-5.3,-0.2,6.4,-6.3
1.9,-2.2,-7.4,139.7,-42.5,-131.8
4.1,-0.1,-9.2,-7.4,6.3,3
4.1,-0.1,-9.2,-1.2,4.4,-6.1
3.9,-0.3,-8.7,-1.2,4.4,-6.1
2.9,-1.4,-14.4,-21.2,5.5,44.4
0.3,-7.5,-1,-24.7,13,11
-0.7,-8.6,-4.8,3.8,3.2,2.5
-1,-8.6,-4.5,-0.5,4.8,-4.7
-1,-8.6,-4.5,33.9,13.2,-32.2
-0.2,-7.7,-5.1,33.9,13.2,-32.2
-0.2,-7.7,-5.1,23.5,-17.5,-69.5
2.9,-2.5,-10.4,23.5,-17.5,-69.5
3.7,0.7,-8.9,-1.8,-4.2,7.7
3.8,0.8,-9,-3.1,-0.2,-0.7
3.1,-0.9,-7.8,-116.7,-7.7,217.3
-1,-9,-4.5,16.5,-3,-2.6
-0.8,-8.6,-4.6,-2.3,-1.1,-1.6
-1,-8.5,-4.3,-0.4,-0.4,3.3
-1,-8.5,-4.3,64.9,2.6,-89.8
0.4,-5.9,-6,64.9,2.6,-89.8
4.4,0.7,-13.1,23,-11.1,-53.4
4.2,1.4,-8.7,-3.1,-0.1,-1.6
4,1.7,-8.7,-0.3,0.6,-3.1
3.9,1.8,-9,3.1,-1,1
2.2,-2.2,-4.5,-85.1,-27.1,191.6
-1,-8.5,-5.1,2.6,5.8,-9.5
-1.4,-8.5,-4.9,2.5,1.3,-2.7
-1.4,-8.5,-4.9,3.6,-0.2,-5
-1.2,-8.4,-4.5,3.6,-0.2,-5
1,-4.6,-6.6,33.3,0.2,-67.2
4.1,0.1,-11,20.5,-2.2,-12
3.1,0.4,-9.2,-12.9,5.3,19.2
2.4,-0.3,-9.7,-12.9,5.3,19.2
2.4,-0.3,-9.7,26.1,-12,-1.7
2.7,1.7,-13.8,7.5,13.8,-10.1
0.7,-5.8,0.6,-25.8,-1.3,96.6
-0.1,-9.1,-3.2,12.8,-1.7,16.5
1,-8.3,-3.4,19.1,-5.9,-27.1
3.5,-3.5,-7,31.6,-18.9,-115.6
4.2,1.9,-8.9,-15.4,-1.2,15.6
4.6,2,-8.5,-15.4,-1.2,15.6
4.6,2,-8.5,-1.4,1.9,-9.2
4.7,2.2,-8.4,-1.4,-1.3,-1.8
4.7,2.2,-8.4,-4.6,5.3,4.7
4.4,1.9,-9.7,-4.6,5.3,4.7
1.3,-2.1,-4.6,-34.2,-26.7,219.3
0.5,-8.5,-5.2,3.3,-0.1,-5.6
0.5,-8.5,-5.2,-1.6,-2.2,-1.8
0.4,-8.1,-5.1,-1.6,-2.2,-1.8
1.2,-6.6,-5.3,26.1,0,-39.6
4.4,1.2,-14.3,11,-1.9,-82.1
3.9,2.2,-8.5,1.5,-1.2,-8.6
3.8,2.4,-8.8,1,2.4,-2.5
3.8,2.4,-8.8,8.6,19.3,-6.2
3.4,2.5,-13.4,8.6,19.3,-6.2
3.4,2.5,-13.4,-1.3,-8.2,21.8
